id,user_id,amount,currency,merchant_id,device_id,status,created_at,decision
tx_00006252,user_0137,24.97,GBP,merchant_041,device_188,completed,2026-05-30 01:21:48.071006+00:00,approve
tx_00004684,user_0258,16.68,EUR,merchant_044,device_061,completed,2026-06-03 12:13:51.071006+00:00,approve
tx_00001731,user_0451,17.67,USD,merchant_037,device_029,completed,2026-06-07 18:47:20.071006+00:00,approve
tx_00004742,user_0213,53.34,EUR,merchant_036,device_196,completed,2026-05-09 22:42:43.071006+00:00,approve
tx_00004521,user_0349,58.27,USD,merchant_023,device_185,completed,2026-05-18 00:13:38.071006+00:00,approve
tx_00006340,user_0148,200.46,GBP,merchant_030,device_096,completed,2026-05-03 23:08:09.071006+00:00,approve
tx_00000576,user_0462,6.67,CAD,merchant_023,device_166,completed,2026-06-07 04:14:00.071006+00:00,approve
tx_00005202,user_0418,6.16,EUR,merchant_018,device_140,completed,2026-05-01 07:11:42.071006+00:00,approve
tx_00006363,user_0128,237.79,CAD,merchant_069,device_111,completed,2026-05-08 00:07:12.071006+00:00,approve
tx_00000439,user_0198,329.16,CAD,merchant_007,device_121,completed,2026-05-24 01:47:27.071006+00:00,approve
tx_00002750,user_0122,19.68,USD,merchant_063,device_142,completed,2026-06-18 10:02:47.071006+00:00,approve
tx_00007487,user_0255,53.71,CAD,merchant_030,device_139,completed,2026-05-06 17:36:04.071006+00:00,approve
tx_00005272,user_0120,5.82,EUR,merchant_060,device_036,completed,2026-05-07 23:32:47.071006+00:00,approve
tx_00005653,user_0232,154.52,GBP,merchant_093,device_065,completed,2026-06-23 04:32:45.071006+00:00,approve
tx_00003999,user_0260,13.48,USD,merchant_022,device_008,completed,2026-05-20 20:12:04.071006+00:00,approve
tx_00006033,user_0474,12.84,EUR,merchant_054,device_151,completed,2026-05-04 08:04:20.071006+00:00,approve
tx_00000582,user_0053,14.06,CAD,merchant_050,device_017,completed,2026-06-05 20:20:28.071006+00:00,approve
tx_00000430,user_0123,49.15,EUR,merchant_013,device_167,completed,2026-05-26 02:28:57.103132+00:00,block
tx_00007051,user_0216,3.41,GBP,merchant_041,device_065,completed,2026-05-17 20:30:11.071006+00:00,approve
